,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tambopata,-12.7333,-69.1833,85.95,44,92,1.36,PE,2021-09-27 02:42:14
1,Yellowknife,62.456,-114.3525,42.57,87,20,4.61,CA,2021-09-27 02:34:29
2,Hobart,-42.8794,147.3294,59.11,47,20,4,AU,2021-09-27 02:38:28
3,Puerto Ayora,-0.7393,-90.3518,69.22,90,87,6.91,EC,2021-09-27 02:38:11
4,Punta Arenas,-53.15,-70.9167,41.11,81,0,12.66,CL,2021-09-27 02:37:33
5,Rikitea,-23.1203,-134.9692,73.65,72,33,19.6,PF,2021-09-27 02:38:14
6,Darhan,49.4867,105.9228,46.17,51,93,2.57,MN,2021-09-27 02:42:15
7,Kapaa,22.0752,-159.319,84.18,75,40,7,US,2021-09-27 02:35:42
8,Arraial Do Cabo,-22.9661,-42.0278,71.08,87,86,22.15,BR,2021-09-27 02:42:16
9,Pevek,69.7008,170.3133,31.89,89,100,23.04,RU,2021-09-27 02:38:26
10,Upernavik,72.7868,-56.1549,23.67,63,0,4.12,GL,2021-09-27 02:42:16
11,Llata,-9.4167,-76.7833,51.75,81,71,2.28,PE,2021-09-27 02:42:17
12,Vaini,-21.2,-175.2,77.16,78,75,5.75,TO,2021-09-27 02:39:49
13,Hilo,19.7297,-155.09,80.33,86,90,12.66,US,2021-09-27 02:38:27
14,Pringsewu,-5.3582,104.9744,87.76,59,85,3.42,ID,2021-09-27 02:42:17
15,Nikolskoye,59.7035,30.7861,47.88,98,72,3.94,RU,2021-09-27 02:42:18
16,Busselton,-33.65,115.3333,63.09,75,64,12.41,AU,2021-09-27 02:35:41
17,Bredasdorp,-34.5322,20.0403,56.52,88,39,1.14,ZA,2021-09-27 02:42:18
18,Castro,-24.7911,-50.0119,61.03,83,1,5.57,BR,2021-09-27 02:42:19
19,Davila,18.4726,120.5763,89.58,69,5,7.38,PH,2021-09-27 02:42:19
20,Dikson,73.5069,80.5464,35.53,86,76,24.67,RU,2021-09-27 02:35:56
21,Atuona,-9.8,-139.0333,78.08,73,5,18.81,PF,2021-09-27 02:38:12
22,Safranbolu,41.2508,32.6942,51.33,78,0,1.36,TR,2021-09-27 02:42:20
23,Tiksi,71.6872,128.8694,34.39,90,100,12.08,RU,2021-09-27 02:42:20
