City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tasiilaq,65.6145,-37.6368,30.92,85,98,7.07,GL,2021-09-25 00:40:20
1,Cape Town,-33.9258,18.4232,55.27,90,0,1.14,ZA,2021-09-25 00:37:35
2,Hilo,19.7297,-155.09,79.79,85,90,13.8,US,2021-09-25 00:40:37
3,Mazatlan,23.2167,-106.4167,85.96,74,20,9.22,MX,2021-09-25 00:40:27
4,Chokurdakh,70.6333,147.9167,33.75,75,100,15.3,RU,2021-09-25 00:41:39
5,Castro,-24.7911,-50.0119,59.88,80,83,5.99,BR,2021-09-25 00:41:39
6,Chuy,-33.6971,-53.4616,54.95,97,17,6.78,UY,2021-09-25 00:41:40
7,Rikitea,-23.1203,-134.9692,73.62,80,100,18.54,PF,2021-09-25 00:40:23
8,Dubrovka,53.6907,33.5071,46.38,97,94,4.59,RU,2021-09-25 00:41:40
9,Mahebourg,-20.4081,57.7,70.25,88,75,17.27,MU,2021-09-25 00:41:40
10,Port Alfred,-33.5906,26.891,59.2,83,53,6.93,ZA,2021-09-25 00:41:41
11,Khatanga,71.9667,102.5,30.88,87,100,6.93,RU,2021-09-25 00:41:41
12,Cidreira,-30.1811,-50.2056,60.91,85,43,4.34,BR,2021-09-25 00:41:42
13,Georgetown,5.4112,100.3354,83.89,90,20,1.99,MY,2021-09-25 00:40:41
14,Camana,-16.6228,-72.7111,63.82,76,4,6.55,PE,2021-09-25 00:41:42
15,Thompson,55.7435,-97.8558,44.76,87,75,10.36,CA,2021-09-25 00:40:31
16,Kamuli,0.9472,33.1197,64.09,95,100,2.93,UG,2021-09-25 00:41:43
17,Upernavik,72.7868,-56.1549,22.19,84,35,6.13,GL,2021-09-25 00:40:25
18,Busselton,-33.65,115.3333,56.05,63,2,17.27,AU,2021-09-25 00:41:43
19,Half Moon Bay,37.4636,-122.4286,91.22,72,90,1.01,US,2021-09-25 00:41:38
20,Sao Jose Da Coroa Grande,-8.8978,-35.1478,75.49,86,33,10.6,BR,2021-09-25 00:41:44
21,Ossora,59.2353,163.0719,50.16,57,2,4.59,RU,2021-09-25 00:41:44
22,Dali,25.7,100.1833,64.33,83,1,0.83,CN,2021-09-25 00:41:44
23,Roebourne,-20.7833,117.1333,79.75,24,5,11.9,AU,2021-09-25 00:41:45
24,Yuzhno-Kurilsk,44.0306,145.8556,57.02,73,20,18.99,RU,2021-09-25 00:41:45
25,Filingue,14.3521,3.3168,85.5,55,92,11.63,NE,2021-09-25 00:41:45
26,Ushuaia,-54.8,-68.3,40.66,93,75,0.0,AR,2021-09-25 00:41:46
27,Tahe,52.3333,124.7333,54.27,85,100,1.21,CN,2021-09-25 00:41:46
28,Alihe,50.5667,123.7167,52.0,98,100,1.74,CN,2021-09-25 00:41:47
29,Airai,-8.9266,125.4092,74.91,39,27,2.3,TL,2021-09-25 00:41:47
30,Asyut,27.181,31.1837,75.38,45,0,10.6,EG,2021-09-25 00:41:47
31,Mataura,-46.1927,168.8643,50.49,93,88,10.29,NZ,2021-09-25 00:40:23
32,Yellowknife,62.456,-114.3525,47.41,90,75,7.0,CA,2021-09-25 00:38:47
33,West Bay,19.3667,-81.4167,84.07,80,100,8.19,KY,2021-09-25 00:41:48
34,Miquelon,47.0975,-56.3814,56.03,67,16,13.29,PM,2021-09-25 00:41:49
35,Tuktoyaktuk,69.4541,-133.0374,35.6,93,90,20.71,CA,2021-09-25 00:41:49
36,Santa Maria,-29.6842,-53.8069,56.5,94,40,1.14,BR,2021-09-25 00:38:18
37,Masuri,35.8488,128.1492,65.89,87,100,2.37,KR,2021-09-25 00:41:50
38,Barrow,71.2906,-156.7887,30.22,80,90,4.61,US,2021-09-25 00:39:05
39,Punta Arenas,-53.15,-70.9167,41.11,81,90,8.05,CL,2021-09-25 00:40:34
40,San Patricio,28.017,-97.5169,82.26,54,86,8.93,US,2021-09-25 00:41:37
41,Kavieng,-2.5744,150.7967,84.74,67,21,10.4,PG,2021-09-25 00:41:51
42,Pevek,69.7008,170.3133,28.83,75,100,12.21,RU,2021-09-25 00:40:34
43,Pattaya,12.9333,100.8833,84.33,80,100,11.77,TH,2021-09-25 00:41:51
